crop,kc_initial,kc_development,kc_mid_season,kc_late_season,stage_initial_days,stage_development_days,stage_mid_season_days,stage_late_season_days,root_initial,root_development,root_mid_season,root_late_season,depletion_initial,depletion_development,depletion_mid_season,depletion_late_season,water_sensitivity,typical_yield,growing_seasons
Rice,0.4,0.7,1.15,0.8,30,30,60,30,0.2,0.3,0.5,0.9,0.3,0.3,0.2,0.2,0.9,5.5,"June-Oct, Nov-March"
Sugarcane,0.4,0.6,0.8,0.9,35,60,180,90,0.3,0.5,0.8,1.0,0.4,0.35,0.3,0.2,0.7,80.0,Dec-Jan
Groundnut,0.4,0.5,1.15,0.6,25,35,45,25,0.3,0.4,0.5,0.7,0.45,0.35,0.25,0.2,0.8,2.5,"June-Sep, Jan-April"
Cotton,0.45,0.55,0.85,0.7,30,50,60,55,0.3,0.5,0.9,1.0,0.5,0.4,0.3,0.3,0.6,2.0,June-Oct
Banana,0.5,0.7,1.1,0.8,40,80,120,60,0.2,0.4,0.6,0.7,0.4,0.35,0.3,0.3,0.85,40.0,Year-round
